name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
srivilliputhur,2025-09-26,92.2,76.9,83.4,102.3,76.9,87.1,71.8,70.8,0.012,100,8.33,rain,0,0,18.3,16.3,233,1007,79.6,9.6,224.6,19.4,8,30,2025-09-26T06:08:20,2025-09-26T18:13:16,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"VOMD,remote"
srivilliputhur,2025-09-27,94.2,78,84.1,95.7,78,85.5,66.6,57.3,0,3.2,0,,0,0,16.6,12.8,249.2,1007.5,91.3,15,231,20,9,10,2025-09-27T06:08:16,2025-09-27T18:12:40,0.18,Overcast,Cloudy skies throughout the day.,cloudy,
srivilliputhur,2025-09-28,93.6,77.6,84.5,94.5,77.6,85.9,65.5,54.5,0,16.1,0,,0,0,16.8,14.1,244.6,1007.9,78.1,15,267.3,23.1,9,10,2025-09-28T06:08:11,2025-09-28T18:12:04,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
srivilliputhur,2025-09-29,94.6,77.6,84.7,94.6,77.6,85.5,64.7,53.3,0,71,0,rain,0,0,18.6,13.9,249.7,1007.4,85.4,15,270.1,23.5,10,5,2025-09-29T06:08:06,2025-09-29T18:11:28,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
srivilliputhur,2025-09-30,96.2,77.4,85.2,96.1,77.4,86,64,51.2,0,32.3,0,,0,0,21.9,14.8,254.8,1006,76.6,15,272.6,23.6,10,10,2025-09-30T06:08:02,2025-09-30T18:10:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
srivilliputhur,2025-10-01,96.5,77.4,85.8,96.3,77.4,86.5,63.4,49.2,0,35.5,0,,0,0,17.9,13.6,260,1005.8,77.8,15,291.8,25.2,9,10,2025-10-01T06:07:58,2025-10-01T18:10:18,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
srivilliputhur,2025-10-02,96.7,78.3,85.7,97,78.3,86.8,64.5,50.8,0,16.1,0,,0,0,13.2,13.6,257.7,1007.2,100,15,240.4,20.4,8,10,2025-10-02T06:07:54,2025-10-02T18:09:43,0.34,Overcast,Cloudy skies throughout the day.,cloudy,
srivilliputhur,2025-10-03,93.5,80,85.6,93.4,80,86.9,64.2,50.1,0,19.4,0,,0,0,10.3,7.2,262.9,1008.8,100,15,180.5,15.6,7,10,2025-10-03T06:07:51,2025-10-03T18:09:09,0.37,Overcast,Cloudy skies throughout the day.,cloudy,
srivilliputhur,2025-10-04,94.9,79.1,86.4,95.5,79.1,87.7,64.2,48.9,0,51.6,0,rain,0,0,9.2,6.9,66.2,1008.2,94.4,15,228.3,19.5,8,10,2025-10-04T06:07:48,2025-10-04T18:08:34,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
srivilliputhur,2025-10-05,97.2,80.5,86.2,98.5,83.3,89.1,67.2,54.6,0.142,61.3,8.33,rain,0,0,18.6,15.2,88.4,1007.8,75.3,13.9,264.8,22.8,9,10,2025-10-05T06:07:45,2025-10-05T18:08:01,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
srivilliputhur,2025-10-06,95.4,80.9,86.8,96.7,83.7,89.6,67,53.3,0.036,51.6,12.5,rain,0,0,9.4,8.9,154.8,1008.3,83.9,15,258.8,22.2,9,10,2025-10-06T06:07:42,2025-10-06T18:07:27,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
srivilliputhur,2025-10-07,85.2,77.6,82,88,77.6,84.1,68,63.3,0.571,54.8,25,rain,0,0,15,12.8,181.6,1010.3,79.2,13.3,165.4,14.1,5,30,2025-10-07T06:07:40,2025-10-07T18:06:54,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
srivilliputhur,2025-10-08,87.7,78.2,82.6,90.4,78.2,84.6,68.6,63.4,0,54.8,0,rain,0,0,6.5,4.7,112.4,1010,93.8,15,145,12.3,5,10,2025-10-08T06:07:39,2025-10-08T18:06:22,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
srivilliputhur,2025-10-09,92.7,78.5,84.7,96,78.5,88,69.4,61.3,0.115,58.1,12.5,rain,0,0,16.1,12.8,131.4,1009.2,56.6,14.8,232.8,20.3,8,30,2025-10-09T06:07:37,2025-10-09T18:05:50,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
srivilliputhur,2025-10-10,93.8,78.3,84.8,96.2,78.3,87.6,68.7,60.3,0.17,41.9,16.67,rain,0,0,15.9,14.8,210.1,1008.3,97.6,14.2,242.9,21,8,30,2025-10-10T06:07:36,2025-10-10T18:05:18,0.61,Overcast,Cloudy skies throughout the day with storms possible.,cloudy,
virudhunagar,2025-09-26,92.7,76.9,83.3,102.3,76.9,87.4,72.3,71.9,0.036,100,12.5,rain,0,0,25.3,19.5,233.5,1006.9,79.5,9.6,240.5,20.7,8,30,2025-09-26T06:07:04,2025-09-26T18:11:59,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"VOMD,remote"
virudhunagar,2025-09-27,95.6,78.2,84.8,97,78.2,86.3,66.9,57.1,0,0,0,,0,0,22.4,15.7,243.7,1007,74.8,15,254.9,22,10,10,2025-09-27T06:06:59,2025-09-27T18:11:22,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
virudhunagar,2025-09-28,95.3,78,85.4,96.1,78,86.9,65.7,53.7,0,0,0,,0,0,23.3,17.2,239.3,1007.7,64.1,15,277.7,24,9,10,2025-09-28T06:06:54,2025-09-28T18:10:46,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
virudhunagar,2025-09-29,96.2,78.2,85.7,96.2,78.2,86.6,64.7,51.8,0,0,0,,0,0,21.9,15.9,247.2,1007.1,87.2,15,271.9,23.5,9,5,2025-09-29T06:06:50,2025-09-29T18:10:11,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
virudhunagar,2025-09-30,97.2,78,86.1,97.1,78,87,64.3,50.4,0,0,0,,0,0,21.9,15.9,250.5,1005.8,82.8,15,247.7,21.2,8,10,2025-09-30T06:06:46,2025-09-30T18:09:35,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
virudhunagar,2025-10-01,98.5,78.3,87,97.9,78.3,87.9,63.5,47.8,0,0,0,,0,0,18.8,13.9,260.2,1005.8,86.8,15,290.4,25.2,9,10,2025-10-01T06:06:42,2025-10-01T18:09:00,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
virudhunagar,2025-10-02,95.8,79.2,86.8,96.4,79.2,88.4,64.9,49.5,0,3.2,0,,0,0,11.2,7.6,261.2,1007.2,99.3,15,237.4,20.4,7,10,2025-10-02T06:06:39,2025-10-02T18:08:25,0.34,Overcast,Cloudy skies throughout the day.,cloudy,
